# ----------------------------------------
# Reports snapshot
# Account: Default Account for Firebase
# Property: dmitthedazed.github.io
# ----------------------------------------
#  
# Start date: 20260112
# End date: 20260411
Active users,New users,Average engagement time per active user,Event count
202,201,20.222772277227723,1808

#  
# Start date: 20260112
# End date: 20260411
Page title and screen class,Views,Active users,Event count,Bounce rate
Опитування батьків — Курсова 2026,102,70,355,0.38461538461538464
Опитування вихователів — Курсова 2026,69,50,239,0.46551724137931033
Відеофрагмент V3 — Курсова 2026,43,32,123,0.21212121212121213
Анкета для батьків дошкільників — дослідження ШІ-контенту,30,16,134,0.4
Дуб під вікном — Курсова 2026,30,21,97,0.2222222222222222
Відеофрагмент V5 — Курсова 2026,24,20,72,0.19047619047619047
Відеофрагмент V2 — Курсова 2026,23,18,54,0.1111111111111111
Анкета для вихователів ЗДО — дослідження ШІ-контенту,22,8,92,0.125
Відеофрагмент V4 — Курсова 2026,22,17,59,0.16666666666666666
Відеофрагмент V1 — Курсова 2026,21,17,52,0.1111111111111111
Лисичка і чарівне зернятко — Курсова 2026,21,19,72,0.15
Навіщо кажуть «Спасибі» — Курсова 2026,20,17,61,0.05555555555555555
Пригоди сонячного зайчика Пстрика — Курсова 2026,19,16,67,0.25
Сонечко і хмаринка — Курсова 2026,19,18,68,0.3684210526315789
Відеофрагмент V6 — Курсова 2026,18,17,45,0
Покинуте кошеня — Курсова 2026,16,13,53,0.23076923076923078
Теплий хлібчик для друзів — Курсова 2026,16,13,56,0.21428571428571427
Їжачкова яблучна знахідка — Курсова 2026,13,10,46,0.18181818181818182
Курсова · Савін Д.С. · 2026,11,8,28,0.7
Бабусин пиріг — Курсова 2026,10,9,31,0
Психологічна безпека ШІ-контенту для дошкільників — курсова робота,2,2,4,0

#  
# Start date: 20260112
# End date: 20260411
First user source / medium,Active users
(direct) / (none),181
google / organic,18
facebook.com / referral,1
instagram.com / referral,1
tiktok.com / referral,1

#  
# Start date: 20260112
# End date: 20260411
Session source / medium,Sessions
(direct) / (none),213
google / organic,42
facebook.com / referral,1
instagram.com / referral,1
tiktok.com / referral,1

#  
# Start date: 20260112
# End date: 20260411
Nth day,new,returning
0000,0,0
0001,0,0
0002,0,0
0003,0,0
0004,0,0
0005,0,0
0006,0,0
0007,0,0
0008,0,0
0009,0,0
0010,0,0
0011,0,0
0012,0,0
0013,0,0
0014,0,0
0015,0,0
0016,0,0
0017,0,0
0018,0,0
0019,0,0
0020,0,0
0021,0,0
0022,0,0
0023,0,0
0024,0,0
0025,0,0
0026,0,0
0027,0,0
0028,0,0
0029,0,0
0030,0,0
0031,0,0
0032,0,0
0033,0,0
0034,0,0
0035,0,0
0036,0,0
0037,0,0
0038,0,0
0039,0,0
0040,0,0
0041,0,0
0042,0,0
0043,0,0
0044,0,0
0045,0,0
0046,0,0
0047,0,0
0048,0,0
0049,0,0
0050,0,0
0051,0,0
0052,0,0
0053,0,0
0054,0,0
0055,0,0
0056,0,0
0057,0,0
0058,0,0
0059,0,0
0060,19,0
0061,5,0
0062,0,0
0063,1,1
0064,0,0
0065,3,0
0066,72,12
0067,52,15
0068,8,2
0069,4,4
0070,3,3
0071,0,0
0072,4,0
0073,17,0
0074,10,2
0075,0,0
0076,1,0
0077,2,0
0078,1,0
0079,1,0
0080,0,1
0081,0,0
0082,1,0
0083,0,0
0084,0,0
0085,0,0
0086,0,0
0087,0,0
0088,0,0
0089,0,0

# How does activity on your platforms compare?
# Start date: 20260112
# End date: 20260411
Platform,Key events


#  
# Start date: 20260112
# End date: 20260411
City,Active users
Kyiv,112
Berdychiv,35
Lviv,11
Bratislava,9
Donetsk,6
Zaporizhzhia,5
Slavuta,4
Kharkiv,3
Mykolaiv,3
Odesa,3
Amsterdam,2
Dnipro,2
Khmelnytskyi,2
Kryvyi Rih,2
Zhytomyr,2
Altoona,1
Herrljunga,1
Kremenchuk,1
Mariupol',1
Poltava,1
Shepetivka,1

#  
# Start date: 20260112
# End date: 20260411
Audience name,Active users
All Users,202
