respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,date_filled,sample1_code,sample1_format,sample2_code,sample2_format,years_experience,group_name,education,uses_video_audio_content,use_frequency_if_yes,usage_purpose_multi,content_source_multi,importance_precheck_1_5,quality_signs_multi,knows_ai_content,used_ai_in_work,ai_content_pedagogically_appropriate,youtube_trust_1_5,sample1_plot,sample1_value,sample1_language,sample1_psychological_safety,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_use,sample2_plot,sample2_value,sample2_language,sample2_psychological_safety,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_use,open_q13_main_risk_ai,open_q14_quality_signs,usage_purpose_other_text,content_source_other_text,quality_signs_other_text,notes
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,,T2,text,V4,video,23,,Вища (інша),Іноді,Рідше,Обговорення емоцій,Освітні платформи; Інше,5,Чіткий сюжет; Позитивні цінності,Так,Ні,Важко відповісти,3,4,5,4,5,3,4,ШІ,Скоріше так,1,2,2,2,2,2,ШІ,Скоріше ні,"Надмірне використання ШІ-контенту призводить до зниження самостійності та формування особистості, не пристосованої до реальності","«попередня робота / фахова оцінка»
«мова, сюжет»
«динамічність»
«зміст»
«емоції»
«мораль»",,,,
E-04-05,B-04-05-T7V3,B,educator,04,05,paper,,,T7,text,V3,video,17,,Вища (інша),Іноді,Рідше,Відпочинок / пауза; Обговорення емоцій; Інше,YouTube; Інше,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку; Інше,Так,Ні,Важко відповісти,3,5,5,5,5,5,5,Традиційний,Так,2,2,2,1,2,2,ШІ,Скоріше ні,"Створює бар’єри до дорослішання.
Надмірна віртуалізація.
Психологічні розлади (самотність, невпевненість).
Трансформація до вірт.
Зловживання / фейк контент, швидко змінюється.","«сюжет»
«зміст»
«доречність»
«виразність»
«сенс»
«рефлексія»",,,,
E-01-03,B-01-03-T9V2,B,educator,01,03,paper,,,T9,text,V2,video,8,спеціальна,Вища (інша),Іноді,Кілька разів на тиждень,Тематичне заняття; Ранкове коло; Відпочинок / пауза,YouTube Kids; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Відповідність віку,Так,"Так, свідомо",Скоріше так,4,4,4,4,5,5,4,Важко сказати,Скоріше так,4,4,5,5,5,4,ШІ,Скоріше так,"«Спотворення сприйняття реальності.»
«Підміна справжньої соціальної взаємодії.»","«Відповідність віку.»
«Безпечний, доброзичливий зміст.»
«Розвивальна цінність.»
«Чітка ідея або мораль.»",,,,
E-01-02,B-01-02-T1V4,B,educator,01,02,paper,,,T1,text,V4,video,20,спеціальна,Вища (інша),Іноді,Кілька разів на тиждень,Тематичне заняття; Ранкове коло; Відпочинок / пауза,YouTube Kids; Освітні платформи,5,Чіткий сюжет; Позитивні цінності,Так,"Так, свідомо",Скоріше так,4,3,4,4,4,5,4,Важко сказати,Скоріше так,4,3,5,5,5,4,ШІ,Так,"«Спотворення сприйняття реальності.»
«Підміна справжньої соціальної взаємодії.»","«Відповідність віку.»
«Безпечність та доброзичливий зміст.»
«Розвивальна цінність.»
«Чітка ідея або мораль.»",,,,
E-01-04,B-01-04-T7V4,B,educator,01,04,paper,,,T7,text,V4,video,22,логопедична,Середня спеціальна,Іноді,,Тематичне заняття; Відпочинок / пауза; Розвиток мовлення; Обговорення емоцій,Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Важко відповісти,3,5,5,4,5,5,5,Важко сказати,Так,4,4,4,4,4,4,Важко сказати,Так,"Найбільший ризик — це заміна живого спілкування, людського живого спілкування (готовими відповідями).»","«пояснення, доступність»
«відповідність віку»
«відсутність перевантажень»
«зрозумілий зміст»
«має мету»",,,,
E-01-01,B-01-01-T6V4,B,educator,01,01,paper,,,T6,text,V4,video,20,старша,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,Тематичне заняття; Розвиток мовлення,YouTube; YouTube Kids; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Так,4,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Так,«Перегляд матеріалів не виконує роль оригінального психологічного контакту та дружби.»,«Відповідність віку. Безпека.»,,,,
E-01-03,B-01-03-T9V2,B,educator,01,03,paper,,,T9,text,V2,video,35,середня,Вища (інша),Іноді,Кілька разів на тиждень,Тематичне заняття; Ранкове коло; Обговорення емоцій,YouTube; Файли / флешка,5,Позитивні цінності; Без насилля / переляку,Так,"Так, свідомо",Скоріше так,3,4,4,4,4,3,3,Важко сказати,Скоріше так,3,4,4,,3,3,ШІ,Скоріше так,"«Якщо включають матеріали, що містять насилля та інші негативні прояви.»","«Безпека, відповідність віку, позитивні цінності.»",,,,
E-01-02,B-01-02-T1V4,B,educator,01,02,paper,,,T1,text,V4,video,32,середня логопедична,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,Тематичне заняття; Ранкове коло,YouTube; Файли / флешка; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Природне мовлення; Без насилля / переляку,Так,"Так, свідомо",Важко відповісти,3,5,5,4,4,4,4,Традиційний,Так,4,,3,4,5,3,ШІ,Скоріше так,"«Прояви насилля, невідповідність віковим вимогам, агресивність, доступ до особистісного розвитку.»","«Прояви насилля, невідповідність віковим вимогам, агресивність...»",,,,
E-04-07,B-04-07-T1V5,B,educator,04,07,paper,,,T1,text,V5,video,18,логопедична,Вища (інша),"Так, регулярно",Кілька разів на тиждень,Тематичне заняття; Розвиток мовлення,YouTube Kids; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Так,5,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,Важко сказати,Так,«ШІ створює ризики для інтелектуального розвитку дітей.»,«Базується на комплексному оцінюванні безпеки та розвивального потенціалу.»,,,,
E-04-08,B-04-08-T1V5,B,educator,04,08,paper,,,T1,text,V5,video,15,старша,Вища (інша),Іноді,Кілька разів на тиждень,Тематичне заняття; Відпочинок / пауза; Розвиток мовлення,YouTube; Файли / флешка; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Без насилля / переляку; Відповідність віку,Так,Можливо,Скоріше так,3,5,5,5,5,5,5,Традиційний,Скоріше так,4,5,,4,3,4,Традиційний,,"«Насилля, страх — для інтелектуального розвитку дітей.»","«чіткий сюжет
психологічна безпека
вікова доречність»",,,,
